"LGA_Name","School_Count"
"Casey (C)",90
"Greater Geelong (C)",84
"Yarra Ranges (S)",78
"Hume (C)",72
"Wyndham (C)",69
"Brimbank (C)",59
"Whittlesea (C)",58
"Boroondara (C)",57
"Monash (C)",54
"Greater Bendigo (C)",51
"Whitehorse (C)",51
"Mornington Peninsula (S)",49
"Ballarat (C)",48
"Knox (C)",48
"Melton (C)",47
"Kingston (C)",45
"Merri-bek (C)",45
"Darebin (C)",44
"Greater Dandenong (C)",43
"Banyule (C)",42
"Frankston (C)",42
"Cardinia (S)",41
"Greater Shepparton (C)",40
"Baw Baw (S)",36
"Moonee Valley (C)",36
"Glen Eira (C)",35
"Latrobe (C)",35
"East Gippsland (S)",33
"Maroondah (C)",33
"Wellington (S)",33
"Manningham (C)",31
"Mildura (RC)",31
"Hobsons Bay (C)",29
"Bayside (C)",28
"Nillumbik (S)",28
"Yarra (C)",28
"Macedon Ranges (S)",27
"Melbourne (C)",25
"Campaspe (S)",24
"Stonnington (C)",24
"Wangaratta (RC)",24
"Port Phillip (C)",22
"South Gippsland (S)",22
"Maribyrnong (C)",21
"Moira (S)",20
"Glenelg (S)",18
"Moorabool (S)",18
"Southern Grampians (S)",18
"Colac-Otway (S)",17
"Indigo (S)",17
"Mitchell (S)",17
"Wodonga (C)",16
"Bass Coast (S)",15
"Mount Alexander (S)",15
"Warrnambool (C)",15
"Corangamite (S)",14
"Murrindindi (S)",14
"Swan Hill (RC)",14
"Golden Plains (S)",13
"Hepburn (S)",13
"Moyne (S)",13
"Northern Grampians (S)",13
"Surf Coast (S)",13
"Ararat (RC)",12
"Yarriambiack (S)",12
"Alpine (S)",11
"Gannawarra (S)",11
"Towong (S)",10
"Buloke (S)",9
"Loddon (S)",9
"Pyrenees (S)",9
"Central Goldfields (S)",8
"Hindmarsh (S)",8
"Horsham (RC)",8
"Strathbogie (S)",8
"Benalla (RC)",7
"Mansfield (S)",7
"West Wimmera (S)",5
"Queenscliffe (B)",3
